number_id,value,where_in_paper,quoted_context,source_file,source_sheet_or_column,computing_script,model,decision_type,basis_notes,status
PROV_extracted_tau_gemini_Shower,0.822,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,per_scenario arm=extracted,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),gemini,Shower,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; Set A = 0.8222",verified
PROV_median_gemini,0.641 / 0.769 / 0.122,paper/supplementary.tex:1322,Gemini & Dataset median & 0.641 & 0.769 & 0.122,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,summary arm=default_params,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),gemini,Overall,over all 195 scenarios; model-independent,verified
PROV_extracted_tau_gptoss,0.921,paper/supplementary.tex:1312,GPT-OSS & LLM-extracted & 0.921 & 0.943 & 0.046,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,summary arm=extracted kendall_tau,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),gptoss,Overall,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; reproduced exactly (0.9210). Set A value for the same model = 0.8974",mismatch
PROV_extracted_top1_gptoss,0.943,paper/supplementary.tex:1312,Top-1 column,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,top1_accuracy,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),gptoss,Overall,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; Set A = 0.9173",mismatch
PROV_extracted_mae_gptoss,0.046,paper/supplementary.tex:1312,MAE column,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,mae,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),gptoss,Overall,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; Set A = 0.0519",mismatch
PROV_extracted_tau_gptoss_HVAC,0.961,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,per_scenario arm=extracted,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),gptoss,HVAC,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; Set A = 0.9428",verified
PROV_extracted_tau_gptoss_Appliance,0.959,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,per_scenario arm=extracted,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),gptoss,Appliance,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; Set A = 0.9672",verified
PROV_extracted_tau_gptoss_Shower,0.833,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,per_scenario arm=extracted,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),gptoss,Shower,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; Set A = 0.7867",verified
PROV_median_gptoss,0.641 / 0.769 / 0.122,paper/supplementary.tex:1313,GPT-OSS & Dataset median & 0.641 & 0.769 & 0.122,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,summary arm=default_params,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),gptoss,Overall,over all 195 scenarios; model-independent,verified
PROV_extracted_tau_qwen,0.897,paper/supplementary.tex:1315,Qwen & LLM-extracted & 0.897 & 0.913 & 0.066,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,summary arm=extracted kendall_tau,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),qwen,Overall,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; reproduced exactly (0.8974). Set A value for the same model = 0.8801",mismatch
PROV_extracted_top1_qwen,0.913,paper/supplementary.tex:1315,Top-1 column,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,top1_accuracy,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),qwen,Overall,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; Set A = 0.8972",mismatch
PROV_extracted_mae_qwen,0.066,paper/supplementary.tex:1315,MAE column,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,mae,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),qwen,Overall,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; Set A = 0.0718",mismatch
PROV_extracted_tau_qwen_HVAC,0.914,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,per_scenario arm=extracted,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),qwen,HVAC,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; Set A = 0.8813",verified
PROV_extracted_tau_qwen_Appliance,0.908,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,per_scenario arm=extracted,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),qwen,Appliance,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; Set A = 0.9056",verified
PROV_extracted_tau_qwen_Shower,0.867,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,per_scenario arm=extracted,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),qwen,Shower,"Set B: 5-run CONSENSUS parameters (numeric mean / categorical mode over the runs that succeeded, from the aggregate LLM-Parameterized_Reference_Scoring_results.xlsx) scored once; Set A = 0.8511",verified
PROV_median_qwen,0.641 / 0.769 / 0.122,paper/supplementary.tex:1316,Qwen & Dataset median & 0.641 & 0.769 & 0.122,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,summary arm=default_params,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),qwen,Overall,over all 195 scenarios; model-independent,verified
PROV_gptoss_194of195,194 of 195,paper/supplementary.tex:1328,the extracted condition scored 194 of 195 scenarios for GPT-OSS and 195 for the other three models,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,summary n_scored arm=extracted,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),gptoss,Overall,"true only for the consensus arm (a scenario counts if ANY run succeeded). Per-run basis: 858 of 975 scenario-runs (88.0%), mean 171.6 per run",mismatch
MEDIAN_tau_text,0.641,paper/paper_draft_v2.tex:808,it reaches tau = 0.641,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,arm=default_params,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),all (model-independent),Overall,dataset median over all 195,verified
MEDIAN_top1_text,76.9,paper/paper_draft_v2.tex:808,Top-1 of 76.9%,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,arm=default_params,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),all (model-independent),Overall,dataset median over all 195,verified
MEDIAN_tau_HVAC,0.933,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,arm=default_params,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),all (model-independent),HVAC,dataset median condition by decision type,verified
MEDIAN_tau_Appliance,0.179,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,arm=default_params,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),all (model-independent),Appliance,dataset median condition by decision type,verified
MEDIAN_tau_Shower,0.800,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,arm=default_params,Miscellaneous Scripts/experiments/run_hybrid_ablation_experiments.py (repro: d2_reproduce_ah_numbers.py sec. B),all (model-independent),Shower,dataset median condition by decision type,verified
MEDIAN_tau_gptoss_same_scenarios,0.597,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,arm=default_params restricted,Analysis/pass5/d2_reproduce_ah_numbers.py,gptoss,Overall,"dataset median on the scenarios each GPT-OSS run scored, mean of 5 runs",verified
FD_tau_overall,0.614,paper/paper_draft_v2.tex:775,for an overall tau of 0.614,Output Files/Baselines/baseline_metrics.csv,FixedDefault Overall_pooled kendall_tau,Miscellaneous Scripts/core-automation/evaluate_baseline_metrics.py,all (model-independent),Overall,,verified
FD_tau_HVAC,0.933,paper/paper_draft_v2.tex:775,fixed default HVAC tau,Output Files/Baselines/baseline_metrics.csv,FixedDefault kendall_tau,Miscellaneous Scripts/core-automation/evaluate_baseline_metrics.py,all (model-independent),HVAC,,verified
FD_tau_Appliance,0.097,paper/paper_draft_v2.tex:775,fixed default Appliance tau,Output Files/Baselines/baseline_metrics.csv,FixedDefault kendall_tau,Miscellaneous Scripts/core-automation/evaluate_baseline_metrics.py,all (model-independent),Appliance,,verified
FD_tau_Shower,0.800,paper/paper_draft_v2.tex:775,fixed default Shower tau,Output Files/Baselines/baseline_metrics.csv,FixedDefault kendall_tau,Miscellaneous Scripts/core-automation/evaluate_baseline_metrics.py,all (model-independent),Shower,,verified
EFFECT_range_text,0.24-0.28,paper/paper_draft_v2.tex:808,Extraction therefore adds 0.24--0.28 in tau beyond what the calculator provides.,paper/per_run_metrics/per_run_metrics_all.csv + Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,Set A tau minus 0.641,Analysis/pass5/d2_reproduce_ah_numbers.py sec. C,qwen (min) / gemini (max),Overall,published basis mixes Set A (scenarios each run scored) with the median over all 195; like-for-like range is 0.239-0.300 (GPT-OSS 0.300),mismatch
EFFECT_like_for_like_deepseek,0.257,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,"extracted_per_run minus default_params, same scenarios per run",Analysis/pass5/d2_reproduce_ah_numbers.py sec. C,deepseek,Overall,per run then mean; run range 0.251-0.263; published basis 0.256; consensus basis 0.263; Top-1 effect 13.9 pp,verified
EFFECT_like_for_like_deepseek_HVAC,-0.013,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,extracted_per_run minus default_params,Analysis/pass5/d2_reproduce_ah_numbers.py sec. C/D,deepseek,HVAC,ext 0.920 vs median 0.933; Wilcoxon (run-mean) p_Holm(24 by-type tests) = 1,verified
EFFECT_like_for_like_deepseek_Appliance,+0.796,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,extracted_per_run minus default_params,Analysis/pass5/d2_reproduce_ah_numbers.py sec. C/D,deepseek,Appliance,ext 0.975 vs median 0.179; Wilcoxon (run-mean) p_Holm(24 by-type tests) = 1.63e-07,verified
EFFECT_like_for_like_deepseek_Shower,-0.013,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,extracted_per_run minus default_params,Analysis/pass5/d2_reproduce_ah_numbers.py sec. C/D,deepseek,Shower,ext 0.787 vs median 0.800; Wilcoxon (run-mean) p_Holm(24 by-type tests) = 1,verified
EFFECT_like_for_like_gemini,0.282,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,"extracted_per_run minus default_params, same scenarios per run",Analysis/pass5/d2_reproduce_ah_numbers.py sec. C,gemini,Overall,per run then mean; run range 0.280-0.284; published basis 0.282; consensus basis 0.280; Top-1 effect 16.2 pp,verified
EFFECT_like_for_like_gemini_HVAC,+0.044,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,extracted_per_run minus default_params,Analysis/pass5/d2_reproduce_ah_numbers.py sec. C/D,gemini,HVAC,ext 0.977 vs median 0.933; Wilcoxon (run-mean) p_Holm(24 by-type tests) = 1,verified
EFFECT_like_for_like_gemini_Appliance,+0.779,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,extracted_per_run minus default_params,Analysis/pass5/d2_reproduce_ah_numbers.py sec. C/D,gemini,Appliance,ext 0.959 vs median 0.179; Wilcoxon (run-mean) p_Holm(24 by-type tests) = 2.76e-07,verified
EFFECT_like_for_like_gemini_Shower,+0.022,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,extracted_per_run minus default_params,Analysis/pass5/d2_reproduce_ah_numbers.py sec. C/D,gemini,Shower,ext 0.822 vs median 0.800; Wilcoxon (run-mean) p_Holm(24 by-type tests) = 1,verified
EFFECT_like_for_like_gptoss,0.300,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,"extracted_per_run minus default_params, same scenarios per run",Analysis/pass5/d2_reproduce_ah_numbers.py sec. C,gptoss,Overall,per run then mean; run range 0.287-0.310; published basis 0.256; consensus basis 0.282; Top-1 effect 17.6 pp,verified
EFFECT_like_for_like_gptoss_HVAC,+0.023,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,extracted_per_run minus default_params,Analysis/pass5/d2_reproduce_ah_numbers.py sec. C/D,gptoss,HVAC,ext 0.943 vs median 0.920; Wilcoxon (run-mean) p_Holm(24 by-type tests) = 1,verified
EFFECT_like_for_like_gptoss_Appliance,+0.788,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,extracted_per_run minus default_params,Analysis/pass5/d2_reproduce_ah_numbers.py sec. C/D,gptoss,Appliance,ext 0.967 vs median 0.179; Wilcoxon (run-mean) p_Holm(24 by-type tests) = 9.61e-08,verified
EFFECT_like_for_like_gptoss_Shower,-0.013,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,extracted_per_run minus default_params,Analysis/pass5/d2_reproduce_ah_numbers.py sec. C/D,gptoss,Shower,ext 0.787 vs median 0.800; Wilcoxon (run-mean) p_Holm(24 by-type tests) = 1,verified
EFFECT_like_for_like_qwen,0.239,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,"extracted_per_run minus default_params, same scenarios per run",Analysis/pass5/d2_reproduce_ah_numbers.py sec. C,qwen,Overall,per run then mean; run range 0.219-0.254; published basis 0.239; consensus basis 0.256; Top-1 effect 12.7 pp,verified
EFFECT_like_for_like_qwen_HVAC,-0.054,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,extracted_per_run minus default_params,Analysis/pass5/d2_reproduce_ah_numbers.py sec. C/D,qwen,HVAC,ext 0.881 vs median 0.935; Wilcoxon (run-mean) p_Holm(24 by-type tests) = 1,verified
EFFECT_like_for_like_qwen_Appliance,+0.726,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,extracted_per_run minus default_params,Analysis/pass5/d2_reproduce_ah_numbers.py sec. C/D,qwen,Appliance,ext 0.906 vs median 0.179; Wilcoxon (run-mean) p_Holm(24 by-type tests) = 3.47e-06,verified
EFFECT_like_for_like_qwen_Shower,+0.051,not quoted,,Analysis/Hybrid_Ablation/hybrid_ablation_summary.xlsx,extracted_per_run minus default_params,Analysis/pass5/d2_reproduce_ah_numbers.py sec. C/D,qwen,Shower,ext 0.851 vs median 0.800; Wilcoxon (run-mean) p_Holm(24 by-type tests) = 1,verified
SIG_cliff_kendall_tau_deepseek,-0.223,paper/supplementary.tex:1332 and paper/paper_draft_v2.tex:808,Cliff's delta range quoted in text,Analysis/Hybrid_Ablation/hybrid_ablation_significance.xlsx,pairwise cliff_delta,Miscellaneous Scripts/validation/test_hybrid_ablation_significance.py,deepseek,Overall,"computed on consensus arm (Set B), p_Holm 2.3e-06, n=195. Like-for-like (per-scenario run-mean of per-run arm): delta -0.179 (small), p_Holm 1.1e-06, n=195",mismatch
SIG_cliff_top1_deepseek,-0.144,paper/supplementary.tex:1332 and paper/paper_draft_v2.tex:808,Cliff's delta range quoted in text,Analysis/Hybrid_Ablation/hybrid_ablation_significance.xlsx,pairwise cliff_delta,Miscellaneous Scripts/validation/test_hybrid_ablation_significance.py,deepseek,Overall,"computed on consensus arm (Set B), p_Holm 0.00018, n=195. Like-for-like (per-scenario run-mean of per-run arm): delta -0.112 (negligible), p_Holm 1.8e-05, n=195",mismatch
SIG_cliff_mae_deepseek,0.491,paper/supplementary.tex:1332 and paper/paper_draft_v2.tex:808,Cliff's delta range quoted in text,Analysis/Hybrid_Ablation/hybrid_ablation_significance.xlsx,pairwise cliff_delta,Miscellaneous Scripts/validation/test_hybrid_ablation_significance.py,deepseek,Overall,"computed on consensus arm (Set B), p_Holm 5.5e-19, n=195. Like-for-like (per-scenario run-mean of per-run arm): delta 0.450 (medium), p_Holm 2.9e-15, n=195",mismatch
SIG_cliff_kendall_tau_gemini,-0.239,paper/supplementary.tex:1332 and paper/paper_draft_v2.tex:808,Cliff's delta range quoted in text,Analysis/Hybrid_Ablation/hybrid_ablation_significance.xlsx,pairwise cliff_delta,Miscellaneous Scripts/validation/test_hybrid_ablation_significance.py,gemini,Overall,"computed on consensus arm (Set B), p_Holm 4.3e-07, n=195. Like-for-like (per-scenario run-mean of per-run arm): delta -0.240 (small), p_Holm 2.6e-07, n=195",mismatch
SIG_cliff_top1_gemini,-0.159,paper/supplementary.tex:1332 and paper/paper_draft_v2.tex:808,Cliff's delta range quoted in text,Analysis/Hybrid_Ablation/hybrid_ablation_significance.xlsx,pairwise cliff_delta,Miscellaneous Scripts/validation/test_hybrid_ablation_significance.py,gemini,Overall,"computed on consensus arm (Set B), p_Holm 6.2e-05, n=195. Like-for-like (per-scenario run-mean of per-run arm): delta -0.160 (small), p_Holm 2.8e-05, n=195",mismatch
SIG_cliff_mae_gemini,0.451,paper/supplementary.tex:1332 and paper/paper_draft_v2.tex:808,Cliff's delta range quoted in text,Analysis/Hybrid_Ablation/hybrid_ablation_significance.xlsx,pairwise cliff_delta,Miscellaneous Scripts/validation/test_hybrid_ablation_significance.py,gemini,Overall,"computed on consensus arm (Set B), p_Holm 2.3e-18, n=195. Like-for-like (per-scenario run-mean of per-run arm): delta 0.444 (medium), p_Holm 4.5e-18, n=195",mismatch
SIG_cliff_kendall_tau_gptoss,-0.234,paper/supplementary.tex:1332 and paper/paper_draft_v2.tex:808,Cliff's delta range quoted in text,Analysis/Hybrid_Ablation/hybrid_ablation_significance.xlsx,pairwise cliff_delta,Miscellaneous Scripts/validation/test_hybrid_ablation_significance.py,gptoss,Overall,"computed on consensus arm (Set B), p_Holm 2e-08, n=194. Like-for-like (per-scenario run-mean of per-run arm): delta -0.187 (small), p_Holm 3.4e-08, n=194",mismatch
SIG_cliff_top1_gptoss,-0.175,paper/supplementary.tex:1332 and paper/paper_draft_v2.tex:808,Cliff's delta range quoted in text,Analysis/Hybrid_Ablation/hybrid_ablation_significance.xlsx,pairwise cliff_delta,Miscellaneous Scripts/validation/test_hybrid_ablation_significance.py,gptoss,Overall,"computed on consensus arm (Set B), p_Holm 2.1e-06, n=194. Like-for-like (per-scenario run-mean of per-run arm): delta -0.120 (negligible), p_Holm 2e-06, n=194",mismatch
SIG_cliff_mae_gptoss,0.446,paper/supplementary.tex:1332 and paper/paper_draft_v2.tex:808,Cliff's delta range quoted in text,Analysis/Hybrid_Ablation/hybrid_ablation_significance.xlsx,pairwise cliff_delta,Miscellaneous Scripts/validation/test_hybrid_ablation_significance.py,gptoss,Overall,"computed on consensus arm (Set B), p_Holm 1.5e-20, n=194. Like-for-like (per-scenario run-mean of per-run arm): delta 0.383 (medium), p_Holm 1.5e-16, n=194",mismatch
SIG_cliff_kendall_tau_qwen,-0.218,paper/supplementary.tex:1332 and paper/paper_draft_v2.tex:808,Cliff's delta range quoted in text,Analysis/Hybrid_Ablation/hybrid_ablation_significance.xlsx,pairwise cliff_delta,Miscellaneous Scripts/validation/test_hybrid_ablation_significance.py,qwen,Overall,"computed on consensus arm (Set B), p_Holm 1.6e-06, n=195. Like-for-like (per-scenario run-mean of per-run arm): delta -0.166 (small), p_Holm 2.2e-06, n=195",mismatch
SIG_cliff_top1_qwen,-0.144,paper/supplementary.tex:1332 and paper/paper_draft_v2.tex:808,Cliff's delta range quoted in text,Analysis/Hybrid_Ablation/hybrid_ablation_significance.xlsx,pairwise cliff_delta,Miscellaneous Scripts/validation/test_hybrid_ablation_significance.py,qwen,Overall,"computed on consensus arm (Set B), p_Holm 4.9e-05, n=195. Like-for-like (per-scenario run-mean of per-run arm): delta -0.094 (negligible), p_Holm 2.2e-05, n=195",mismatch
SIG_cliff_mae_qwen,0.348,paper/supplementary.tex:1332 and paper/paper_draft_v2.tex:808,Cliff's delta range quoted in text,Analysis/Hybrid_Ablation/hybrid_ablation_significance.xlsx,pairwise cliff_delta,Miscellaneous Scripts/validation/test_hybrid_ablation_significance.py,qwen,Overall,"computed on consensus arm (Set B), p_Holm 3.5e-10, n=195. Like-for-like (per-scenario run-mean of per-run arm): delta 0.298 (small), p_Holm 4.1e-08, n=195",mismatch
